Name,Size,Type,Alignment,Habitat,MainHabitat,OtherHabitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR,INT,DEX,WIS,CON,CHA,STR_Save,INT_Save,DEX_Save,WIS_Save,CON_Save,CHA_Save,Proficient,Expertise,Vulnerabilities,Slashing,ImmunitiesConditions,ImmunitiesDamage,Blindsight,Darkvision,Truesight,Tremorsense,PassivePerception,Languages,CR,XP,PB,Traits,NumberOfLegendaryResistance,NumberOfAtk,Atk1Type,Atk1Mod,Atk1Range,Atk1RangeShort,Atk1Damage,Atk1DamageType,Atk2Type,Atk2Mod,Atk2Range,Atk2RangeShort,Atk2Damage,Atk2DamageType,Atk3Type,Atk3Mod,Atk3Range,Atk3RangeShort,Atk3Damage,Atk3DamageType,Atk4Type,Atk4Mod,Atk4Range,Atk4RangeShort,Atk4Damage,Atk4DamageType,SaveDC,SavingThrow,ActionNotes,Ability,SpellSaveDC,SpellSavingThrows,SpellAttack,AtWill,ThreePerDay,TwoPerDay,OnePerDay,BonusAction,Reaction,Amount,LegendaryActionSaveDC,LegendaryActionSavingThrow,LegendaryActions,Lair,xp,LegendaryResistance,LegendaryActions,LairSaveDC,LairSavingThrows,Other
Commoner,Medium or Small,Humanoid,Neutral,Any,Any,,Individual,10,4,0,30,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,10,Common,0,10,2,Training,,1,Melee,2,5,,2,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constrictor Snake,Large,Beast,Unaligned,"Desert, Forest, Swamp, Underwater","Desert, Forest, Swamp, Underwater",,None,13,13,2,30,,,,,30,2,-5,2,0,1,-4,2,-5,2,0,1,-4,"Perception, Stealth",,,,,,10,,,,12,None,1/4,50,2,,,1,Melee,4,5,,6,Piercing,,,,,,,,,,,,,,,,,,,12,Strength,Strength save 7 damage and grappled,,,,,,,,,,,,,,,,,,,,,
Copper Dragon Wyrmling,Medium,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,16,22,3,30,,30,60,,,2,2,1,0,1,1,2,2,3,2,1,1,Stealth,Perception,,,,Acid,10,60,,,14,Draconic,1,200,2,,,1,Melee,4,5,,7,Slashing,,,,,,,,,,,,,,,,,,,11,"Dexterity, Constitution","Acid Breath recharges on 5-6 20ft 5ft wide line 18 acid damage, Slowing Breath 15ft coone target's speed is halved and can't take reactions, and either an action or bonus action",,,,,,,,,,,,,,,,,,,,,
Couatl,Medium,Celestial,Lawful Good,"Desert, Forest, Grassland, Urban","Desert, Forest, Grassland, Urban",,Relics,19,60,5,30,,,90,,,3,4,5,5,3,4,3,4,5,7,5,4,,,,"Bludgeoning, Piercing, Slashing",,"Psychic, Radiant",,,120,,15,"All, Telepathy",4,"1,100",2,Shielded Mind,,1,Melee,7,5,,11,Piercing,,,,,,,,,,,,,,,,,,,15,Strength,"Akt 1 makes the target poisoned, Constrict 5 bludgeoning damage grappled and restrained",Wisdom,15,Wisdom,7,"Detect Evil and Good, Detect Magic, Detect Thoughts, Shapechange",,"Bless, Lesser Restoration, Sanctuary","Create Food and Water, Dream, Greater Restoration, Scrying, Sleep","Cast Bless, Lesser Restoration, or Sanctuary",,,,,,,,,,,,
Crab,Tiny,Beast,Unaligned,"Coastal, Underwater","Coastal, Underwater",,None,11,3,0,20,,,,,20,-2,-5,0,-1,1,-4,-2,-5,0,-1,1,-4,Stealth,,,,,,30,,,,9,None,0,10,2,Amphibious,,1,Melee,2,5,,1,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawling Claw,Tiny,Undead,Neutral Evil,Any,Any,,None,15,20,2,20,,20,,,,1,-3,2,0,0,-3,1,-3,2,0,0,-3,,,,,"Charmed, Exhaustion, Frightened, Incapacitated, Poisoned","Necrotic, Poison",30,,,,10,Understands Common,0,10,2,,,1,Melee,3,5,,2,Necrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocodile,Large,Beast,Unaligned,"Coastal, Swamp, Urban","Coastal, Swamp, Urban",,None,12,13,0,20,,,,,30,2,-4,0,0,1,-3,2,-4,0,0,3,-3,Stealth,,,,,,,,,,10,None,1/2,100,2,Hold Breath,,1,Melee,4,5,,6,Piercing,,,,,,,,,,,,,,,,,,,,,Garbled on hit,,,,,,,,,,,,,,,,,,,,,
Cultist,Medium or Small,Humanoid (Cultist),Neutral,Any,Any,," Individual, Relics",12,9,1,30,,,,,,0,0,1,0,0,0,0,0,1,2,0,0,"Deception, Religion",,,,,,,,,,10,Common,1/8,25,2,,,1,Melee,3,5,,4,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultist Fanatic,Medium or Small,Humanoid (Cultist),Neutral,Any,Any,," Individual, Relics",13,44,2,30,,,,,,0,0,2,2,1,1,0,0,2,4,1,1,"Deception, Persuasion, Religion",,,,,,,,,,12,Common,2,450,2,,,1,Melee,4,5,,13,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,Wisdom,12,Wisdom,4,"Light, Thaumaturgy",,"Command, Spiritual Weapon",Hold Person,Spiritual Weapon cast spiritual weapon,,,,,,,,,,,,
Cultist Hierophant,Medium or Small,Humanoid (Cultist),Neutral,Any,Any,," Individual, Relics",16,144,8,30,,,,,,2,1,4,3,4,5,2,1,4,7,4,9,"Perception, Persuasion, Religion",,,,,,,,,,17,"Celestial, Common",10,"5,900",4,,,3,Melee,9,5,,30,"Slashing, Radiant",Ranged,9,120,120,31,Radiant,,,,,,,,,,,,,,,,Charisma,17,"Constitution, Wisdom",9,"Mage Armor, Thaumaturgy",,,"Jallarzi's Storm of Radiance (Level 7), Mass Suggestion",,,,,,,,,,,,,
Cyclops Oracle,Huge,Giant,Chaotic Neutral,"Coastal, Desert, Grassland, Hill, Mountain, Underdark","Coastal, Desert, Grassland, Hill, Mountain, Underdark",,Armaments,16,207,8,40,,,,,,6,3,0,4,5,0,6,3,0,8,9,0,,"History, Perception",,,,,,,30,,22,Giant,10,"5,900",4,,,3,Melee,10,10,,22,Radiant,Ranged,10,120,120,17,Radiant,,,,,,,,,,,,,,,Atk 2 on hit target has disadvantage,Wisdom,16,,8,,,"Arcane Eye, Detect Magic, Locate Object",Legend Lore,,Portent recharges on 4-6 on a d20 test cyclops rolls a d20 and choses which roll to use,,,,,,,,,,,
Cyclops Sentry,Huge,Giant,Chaotic Neutral,"Coastal, Desert, Grassland, Hill, Mountain, Underdark","Coastal, Desert, Grassland, Hill, Mountain, Underdark",,Armaments,14,138,0,40,,,,,,6,-1,0,-2,5,0,6,-1,0,-2,5,0,,,,,,,,,,,8,Giant,6,"2,300",3,,,2,Melee,9,10,,16,Bludgeoning,Ranged,9,30/120,30,22,Bludgeoning,,,,,,,,,,,,,,,Atk 1 on hit prone,,,,,,,,,,Limited Foresight recharges on 6 when someone makes an attack roll imposes disadvantage and gains advantage on attack rolls against the target,,,,,,,,,,,
Dao,Large,Elemental (Genie),Neutral,"Planar (Elemental Plane of Earth), Underdark","Planar, Underdark",Elemental Plane of Earth,Implements,18,200,1,30,30,,30,30,,6,1,1,1,7,4,6,1,5,5,7,4,,,,,Petrified,,,120,,,11,Primordial (Terran),11,"7,200",4,"Earth Glide, Elemental Restoration, Magic Resistance, Wishes",,3,Melee,10,5,,20,Bludgeoning,Ranged,10,120,120,15,Bludgeoning,,,,,,,,,,,,,16,Dexterity,"Atk 1 3 attacks if picked on hit large or smaller prone, Atk 2 2 attacks if picked also on within 10ft from target on fail 10 thunder damage",Charisma,16,,8,"Detect Evil and Good, Detect Magic, Stone Shape",,,"Gaseous FOrm, Invisibility, Move Earth, Passwall, Plane Shift, Tongues, Wall of Stone",,,,,,,,,,,,,
Darkmantle,Small,Aberration,Unaligned,Underdark,Underdark,,None,11,22,3,10,,,30,,,3,-4,1,0,1,-3,3,-4,1,0,1,-3,Stealth,,,,,,60,,,,10,None,1/2,100,2,,,1,Melee,5,5,,6,Bludgeoning,,,,,,,,,,,,,,,,,,,,,"Akt 1 attaches if it had advantage the target is blinded and is suffocating, Creates magica darkness in a 15ft emanation",,,,,,,,,,,,,,,,,,,,,
Death Cultist,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",17,127,4,30,,,,,,4,1,1,3,4,2,4,1,1,6,7,2,"Insight, Perception, Religion",,,,,,,,,,16,Common,8,"3,900",3,,,3,Melee,7,10,,20,"Slashing, Necrotic",Ranged,6,120,120,22,Necrotic,,,,,,,,,,,,,14,Wisdom,Atk 1 on hit target cannot regain HP,Wisdom,14,,6,"Speak with Dead, Thaumaturgy",,,,Spirit Wail recharges on 5-6 within 20ft on fail 14 Psychic damage and frightened,,,,,,,,,,,,
Death Dog,Medium,Monstrosity,Neutral Evil,Desert,Desert,,None,12,39,2,40,,,,,,2,-4,2,1,2,-2,2,-4,2,1,2,-2,Stealth,Perception,,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,120,,,15,None,1,200,2,,,2,Melee,4,5,,4,Piercing,,,,,,,,,,,,,,,,,,,12,"Constitution, Dexterity",Atk 1 on fail poisoned HP does not return to normal when finishing a long rest subsequent failed HP max decreases by 5,,,,,,,,,,,,,,,,,,,,,
Death Knight,Medium or Small,Undead,Chaotic Evil,Any,Any,,Armaments,20,199,12,30,,,,,,5,1,0,3,5,4,5,1,6,9,5,4,,,,,"Exhaustion, Frightened, Poisoned","Necrotic, Poison",,120,,,13,"Abyssal, Common",17,"18,000",6,"Magic Resistance, Marshall Undead, Undead Restoration",3,3,Melee,11,5,,25,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,18,Dexterity,Hellfire recharges 5-6 20ft sphere on fail 70 Fire and Necrotic Damage,Charisma,18,"Constitution, Wisdom",10,"Command, Phantom Steed",,"Destructive Wave (Necrotic), Dispel Magic",,,Parry on hit +6 AC,3,18,Constitution,"Dread Authority cast command, Fell Word within 120ft 17 Necrotic damage  HP max decreases by the amount taken, Lunge moves up to half its speed and Akt",,,,,,,
Death Knight Aspirant,Medium or Small,Undead,Chaotic Evil,Any,Any,,Armaments,20,178,4,30,,,,,,5,0,0,1,4,3,5,0,4,5,4,3,,,,,"Exhaustion, Frightened, Poisoned","Necrotic, Poison",,120,,,11,"Abyssal, Common",11,"7,200",4,"Magic Resistance, Marshal Undead",,3,Melee,9,5,,24,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,15,Dexterity,Hellfire recharges 5-6 20ft sphere on fail 42 Fire and Necrotic Damage,Charisma,15,Constitution,7,Phantom Steed,,,"Destructive Wave (Necrotic), Dispel Magic",,Parry on hit +4 AC,,,,,,,,,,,
Death Slaad,Medium,Aberration (Slaad),Chaotic Evil,Planar (Limbo),Planar,Limbo,Any,18,178,10,40,,,,,,5,2,2,0,4,4,5,2,2,0,4,4,Arcanna,Perception,,"Acid, Cold, Fire, Lightning, Thunder",,,60,60,,,18,"Common, Slaad, Telepathy",10,"5,900",4,"Magic Resistance, Regeneration",,2,Melee,9,10,,21,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,After Akt 1 the target is either charmed frightened poisoned or incapacitated,Charisma,16,"Constitution, Wisdom",8,"Detect Magic, Detect Thoughts, Invincibility (self), Mage Hand, Major Image",,,"Blight (level 8), Cloudkill (level 6), fly, plane shift, tongues",Shape-Shift,,,,,,,,,,,,
Death Tyrant,Large,Undead (Beholder),Lawful Evil,Underdark,Underdark,,Any,19,195,12,5,,,40,40,,4,4,2,2,2,4,4,4,2,7,7,4,,Perception,,,"Charmed, Exhaustion, Paralyzed, Petrified, Poisoned, Prone",Poison,,120,,,22,"Deep Speech, Undercommon",14,"11,500",5,,3,3,Melee,9,5,,13,Piercing,,,,,,,,,,,,,,,,,,,17,"Wisdom, Constitution, Strength, Dexterity","Eye Rays: Charm Ray on fail 13 psychic damage charmed, Paralyzing on fail paralyzed, Fear Ray on fail 10 Psychic Damage and frightened, Slowing Ray on fail 18 Necrotic Damage and can't take reactions speed is 1/2 and either take an action or bonus action, Enervation Ray on fail 16 poison damage and poisoned, Telekinetic Ray on fail moved 30 ft and restrained and incapacitated, Sleep Ray on fail unconscious, Petrification Ray on fail restrained and second fail petrified, Disintegration Ray on fail 36 force damage a and if reduced to 0 turns into dust, Death Ray on fail 55 Necrotic Damage and if reduced to 0 target is dead",,,,,,,,,Negative Energy coone 150ft coone can't regain hp and creates zombies,,3,,,"Chomp make 2 bite attacks, Glare use an eye ray",Yes,"13,000",4,4,15,Wisdom,On fail no benefit to a short rest
Deer,Medium,Beast,Unaligned,"Forest, Grassland","Forest, Grassland",,None,13,4,3,50,,,,,,0,-4,3,2,0,-3,0,-4,3,2,0,-3,Perception,,,,,,,60,,,14,None,0,10,2,Agile,,1,Melee,2,5,,2,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demilich,Tiny,Undead,Netural,Any,Any,,Arcana,20,180,17,5,,,30,30,,-5,5,5,3,0,5,-5,11,11,9,6,5,,,,"Bludgeoning, Piercing, Slashing","Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Prone, Stunned","Poison, Psychic",,,120,,13,None,18,"20,000",6,Undead Restoration,3,3,Melee,11,5,,24,Necrotic,Ranged,11,120,120,24,Necrotic,,,,,,,,,,,,,19,Constitution,Howl recharges on 5-6 Within 30ft on fail 70 Psychic damage and frightened,,,,,,,,,,,3,19,Constitution,"Energy Drain within 120ft on fail max hp drops by 14, Grave-Dust Flight move up to its fly speed anyone within 5ft on fail is blinded, Necrosis makes another attack",Yes,"22,000",4,4,20,Constitution,On fail max HP reduced by 2
Deva,Medium,Celestial (Angel),Lawful Good,Planar (Upper Planes),Planar,Upper Planes,Relics,17,229,4,30,,,90,90,,4,3,4,5,4,5,4,3,4,9,4,9,"Insight, Perception",,,Radiant,"Charmed, Exhaustion, Frightened",,,120,,,19,"All, Telepathy",10,"5,900",4,"Exalted Restoration, Magic Resistance",,2,Melee,8,5,,25,"Bludgeoning, Radiant",,,,,,,,,,,,,,,,,,,,,,Charisma,17,,9,"Detect Evil and Good, Shapechange",,"Cure Wounds, Lesser Restoration, Remove Curse","Commune, Raise Dead","Cast Cure Wounds, Lesser Restoration, or Remove Curse",,,,,,,,,,,,
Dire Wolf,Large,Beast,Unaligned,"Forest, Hill","Forest, Hill",,None,14,22,2,50,,,,,,3,-4,2,1,2,-2,3,-4,2,1,2,-2,Stealth,,,,,,,60,,,15,None,1,200,2,Pack Tactics,,1,Melee,5,5,,8,Piercing,,,,,,,,,,,,,,,,,,,,,Gives prone condition,,,,,,,,,,,,,,,,,,,,,
Dire Worg,Huge,Fey,Neutral Evil,"Forest, Grassland, Hill, Planar (Feywild)","Forest, Grassland, Hill, Planar",Feywild,None,16,147,2,50,,,,,,6,-2,2,3,4,-1,6,-2,6,7,4,-1,,Perception,,,,,,120,,,21,"Goblin, Sylvan, Worg",10,"5,900",4,Magic Resistance,,3,Melee,10,5,,22,"Piercing, Poison",,,,,,,,,,,,,,,,,,,16,Wisdom,"Akt 1 poisoned on hit, Dreadful Howl recharges on 5-6 30ft on fail 36 psychic damage and frightened",,,,,,,,,Teleports with a creature 30ft,,,,,,,,,,,,
Displacer Beast,Large,Monstrosity,Lawful Evil,Forest,Forest,,None,13,76,4,40,,,,,,4,-2,2,1,3,-1,4,-2,2,1,3,-1,,,,,,,,60,,,11,Understands Sylvan,3,700,2,"Avoidance, Displacement",,2,Melee,6,5,,9,Slashing,Melee,6,10,,11,Piercing,,,,,,,,,,,,,,,Atk 1 on hit prone,,,,,,,,,,,,,,,,,,,,,
Djinni,Large,Elemental (Genie),Neutral,"Coastal, Planar (Elemental Plane of Air)","Coastal, Planar",Elemental Plane of Air,Arcana,18,218,2,30,,,90,90,,5,2,2,3,6,5,5,2,6,7,6,5,,,,,,"Lightning, Thunder",,120,,,13,Primordial (Auran),11,"7,200",4,"Elemental Restoration, Magic Resistance, Wishes",,3,Melee,9,5,,19,"Slashing, Lightning",Ranged,9,120,120,13,,,,,,,,,,,,,,17,Strength,"Atk 2 on hit if target is large or smaller prone, Create Whirlwind 20ft radius 60ft high cylinder when target enters on fail restrained and 21 thunder damage",Charisma,17,,9,"Detect Evil and Good, Detect Magic",,"Create Food and Water, Tongues, Wind Walk","Creation, Gaseous Form, Invisibility, Major Image, Plane Shift",,,,,,,,,,,,,
Doppelganger,Medium,Monstrosity,Neutral,"Underdark, Urban","Underdark, Urban",,Individual,14,52,4,30,,,,,,0,0,4,1,2,2,0,0,4,1,2,2,Insight,Deception,,,Charmed,,,60,,,11,Common plus three other languages,3,700,2,,,3,Melee,6,5,,11,Bludgeoning,,,,,,,,,,,,,,,,,,,12,Wisdom,"Read Thoughts cast detect thoughts, Unsettling Visage within 15ft on fail frightened",,,,,,,,,Shape-shift,,,,,,,,,,,,
Dracolich,Huge or Gargantuan,Undead,Lawful Evil,Any,Any,,Any,20,225,12,40,30,,80,,,7,4,0,2,6,5,7,4,6,8,6,5,Stealth,Perception,,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned","Necrotic, Poison",60,120,,,24,"Common, Draconic",17,"18,000",6,"Life Suppression, Magic Resistance, Soul Gem",,3,Melee,13,10,,22,"Slashing, Necrotic",Ranged,11,60,60,14,Poison,,,,,,,,,,,,,20,Constitution,"Akt 2 is a casting of Ray of Sickness (level 2), Necrotic Breath recharges 5-6 60ft coone on fail 52 necrotic damage",Charisma,19,Constitution,11,"Detect Magic, Ray of Sickness (level 2)",,,"Create Undead (Level 8), Finger of Death",,,3,19,Wisdom,"Pounce,Cast  Sickening Ray (level 2), Terrifying Presence within 30ft on fail 11 psychic damage and frightened",Yes,"20,000",4,4,15,Constitution,On fail Exhaustion
Draft Horse,Large,Beast,Unaligned,Urban,Urban,,None,10,15,0,40,,,,,,4,-4,0,0,2,-2,4,-4,0,0,2,-2,,,,,,,,,,,10,None,1/4,50,2,,,1,Melee,6,5,,6,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Turtle,Gargantuan,Dragon,Neutral,"Coastal, Underwater","Coastal, Underwater",,Any,20,356,6,20,,,,,50,7,0,0,1,5,1,7,0,0,7,11,1,,,,Fire,,,,120,,,11,"Draconic, Primordial (Aquan)",17,"18,000",6,Amphibious,,3,Melee,13,15,,30,"Piercing, Fire",Melee,13,15,,18,Bludgeoning,,,,,,,,,,,,,19,Constitution,"Akt 1 the water does not grant resistance to the fire, Akt 2 gives prone condition, Steam Breath recharges 5-6 60ft coone 56 fire damage",,,,,,,,,,,,,,,,,,,,,
Dretch,Small,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,11,18,0,20,,,,,,1,-3,0,-1,1,-4,1,-3,0,-1,1,-4,,,,"Cold, Fire, Lightning",Poisoned,Poison,,60,,,9,"Abyssal, Telepathy",1/4,50,2,,,1,Melee,3,5,,4,Slashing,,,,,,,,,,,,,,,,,,,11,Constitution,Fetid Cloud 1/day within 10 ft on fail the target is poisoned and only take an action or a bonus action also no reactions,,,,,,,,,,,,,,,,,,,,,
Drider,Large,Monstrosity,Chaotic Evil,"Forest, Underdark","Forest, Underdark",,Armaments,19,123,4,30,,30,,,,3,1,4,3,4,1,3,1,4,3,4,1,Perception,Stealth,,,,,,120,,,16,"Elvish, Undercommon",6,"2,300",3,"Spider Climb, Sunlight Sensitivity, Web Walker",,3,Melee,7,10,,13,Piercing,Ranged,6,120,120,13,Poison,,,,,,,,,,,,,14,Dexterity,,,,,,,,,,"Magic of Spider Queen recharges 5-6 cast Darkness, Faerie Fire, or Web",,,,,,,,,,,,
Druid,Medium or Small,Humanoid,Neutral,Any,Any,,"Individual, Relics",13,44,1,30,,,,,,0,1,1,3,1,0,0,1,1,3,1,0,"Medicine, Nature, Perception",,,,,,,,,,15,"Common, Druidic, Sylvan",2,450,2,,,2,Melee,5,5,,9,"Bludgeoning, Poison",Ranged,5,90,90,10,Radiant,,,,,,,,,,,,,,,,Wisdom,13,"Constitution, Strength",5,"Druidcraft, Speak with Animals",,"Entangle, Thunderwave","Animal Messenger, Longstrider, Moonbeam",,,,,,,,,,,,,
Dryad,Medium,Fey,Neutral,Forest,Forest,,Any,16,22,1,30,,,,,,0,2,1,2,0,4,0,2,1,2,0,4,Perception,Stealth,,,,,,60,,,14,"Elvish, Sylvan",1,200,2,"Magic Resistance, Speak with Beasts and Plants",,2,Melee,6,10,,8,Slashing,Ranged,6,60,60,7,Piercing,,,,,,,,,,,,,,,Can cast Charm Monster as part of its Akt action,Charisma,14,Strength,6,"Animal Friendship, Charm Monster (lasts 24 hours), Druidcraft",,,"Entangle, Pass without Trace",Teleport using trees within 60ft,,,,,,,,,,,,
Dust Mephit,Small,Elemental,Neutral Evil,"Desert, Planar (Elemental Planes)","Desert, Planar",Elemental Planes,None,12,17,2,30,,,30,,,-3,-1,2,0,0,0,-3,-1,2,0,0,0,"Perception, Stealth",,Fire,,"Exhaustion, Poisoned",Poison,,60,,,12,Primordial (Auran and Terran),1/2,100,2,Death Burst,,1,Melee,4,5,,4,Slashing,,,,,,,,,,,,,,,,,,,10,"Dexterity, Wisdom","Blinding Breath recharges on 6 15ft cone on fail blinded, Sleep 1/day cast sleep",,,,,,,,,,,,,,,,,,,,,
Eagle,Small,Beast,Unaligned,"Coastal, Grassland, Hill, Mountain","Coastal, Grassland, Hill, Mountain",,None,12,4,2,10,,,60,,,-2,-4,2,2,1,-2,-2,-4,2,2,1,-2,,Perception,,,,,,,,,16,None,0,10,2,,,1,Melee,4,5,,4,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Elemental,Large,Elemental,Neutral,"Mountain, Planar (Elemental Plane of Earth), Underdark","Mountain, Planar, Underdark",Elemental Plane of Earth,None,17,147,-1,30,30,,,,,5,-3,-1,0,5,-3,5,-3,-1,0,5,-3,,,Thunder,,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious",Poison,,60,,60,10,Primordial (Terran),5,"1,800",3,"Earth Glide, Siege Monster",,2,Melee,8,10,,14,Bludgeoning,Ranged,8,60,60,8,Bludgeoning,,,,,,,,,,,,,,,Atk 2 on hit prone,,,,,,,,,,,,,,,,,,,,,
Efreeti,Large,Elemental (Genie),Neutral,"Desert, Planar (Elemental Plane of FIre)","Desert, Planar",Elemental Plane of FIre,Armaments,17,212,1,40,,,60,60,,6,3,1,2,7,4,6,3,1,6,7,8,,,,,,Fire,,120,,,12,Primordial (Ignan),11,"7,200",4,"Elemental Restoration, Magic Resistance, Wishes",,3,Melee,10,5,,26,"Slashing, Fire",Ranged,8,120,120,24,Fire,,,,,,,,,,,,,,,,Charisma,16,Dexterity,8,"Detect Magic, Elementalism",,,"Gaseous Form, Invincibility, Major Image, Plane Shift, Tongues, Wall of Fire (level 7)",,,,,,,,,,,,,
Elemental Cataclysm,Gargantuan,Elemental (Titan),Chaotic Neutral,Planar (Elemental Chaos),Planar,Elemental Chaos,None,20,370,18,60,60,,80,80,80,8,-1,4,2,8,-1,8,-1,11,9,15,6,,,,,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned, Unconscious","Acid, Cold, Fire, Lightning, Poison, Thunder",,,150,,12,Primordial,22,"41,000",7,"Earth Glide, Siege Monster",4,2,Melee,15,30,,25,"Acid, Cold, Fire, Lightning, or Thunder",Ranged,15,150,150,25,"Acid, Cold, Fire, Lightning, or Thunder",,,,,,,,,,,,,23,"Dexterity, Strength","Control Weather, cast control weather, Cataclysmic Event recharges on 4-6: Clinging Flame within 60ft sphere on fail 45 fire damage and burning, Freezing Waves 90ft cone on fail 44 bludgeoning and cold damage prone and speed reduced to 0, Raging Storm 60ft sphere when in blinded and deafened on fail 36 lightning and thunder damage, Swallowing Earth 90ft cube 36 bludgeoning and acid damage prone buried restrained total cover and suffocating",,,,,,,,,,,3,23,Constitution,"Eruption make another atk, Rumbling Movement move up to half its speed without opportunity attacks within 5 ft on fail prone",,,,,,,
Elemental Cultist,Medium or Small,Humanoid (Cultist),Chaotic Evil,Any,Any,," Individual, Relics",16,135,4,30,,,,,,4,2,1,4,3,1,4,2,1,7,6,1,"Arcana, Perception, Religion",,,,,,,,,,17,"Common, Primordial",8,"3,900",3,,,3,Melee,7,5,,25,"Acid, Cold, Fire, Lightning or Thunder",Ranged,7,120,120,22,"Acid, Cold, Fire, Lightning or Thunder",,,,,,,,,,,,,,,Atk 2 on hit move target 10ft,Wisdom,15,,7,"Elementalism, Mage Hand",,,,,Elemental Absorption takes elemental damage gives itself resistance and 10 temp hp,,,,,,,,,,,
Elephant,Huge,Beast,Unaligned,Grassland,Grassland,,None,12,76,-1,40,,,,,,6,-4,-1,0,3,-2,6,-4,-1,0,3,-2,,,,,,,,,,,10,None,4,"1,100",2,,,2,Melee,8,5,,15,Piercing,,,,,,,,,,,,,,,,,,,,,"If charging, gives prone condition",,,,,,,,,,,,,,,,,,,,,
Elk,Large,Beast,Unaligned,"Grassland, Hill","Grassland, Hill",,None,10,11,0,50,,,,,,3,-4,0,0,0,-2,3,-4,0,0,0,-2,Perception,,,,,,,60,,,12,None,1/4,50,2,,,1,Melee,5,5,,6,Bludgeoning,,,,,,,,,,,,,,,,,,,,,"If charging, +3 damage and gives prone condition",,,,,,,,,,,,,,,,,,,,,
Empyrean,Huge,Celestial or Fiend (Titan),Neutral,Any,Any,,Relics,22,346,19,50,,,50,50,50,10,5,5,6,10,8,17,5,5,13,10,8,"Insight, Perception",,,"Bludgeoning, Piercing, Slashing",,"Necrotic, Radiant",,,120,,23,All,23,"50,000",7,Magic Resistance,4,2,Melee,17,10,,31,Force,Ranged,15,600,600,35,Necrotic or Radiant,,,,,,,,,,,,,,,Akt 1 target is stunned or take 21 more damage,Charisma,23,Charisma,15,"Calm Emotions, Greater Restoration, Pass without Trace, Water Breathing",,,"Commune, Dispel Evil and Good, Plane Shift",,,3,23,Constitution,"Bolster 10 temp hp and allies get advantage on everything, Shockwave of Glory 30ft emanation 27 force damage and prone, make another range attack",,,,,,,
Empyrean Iota,Medium,Celestial or Fiend (Titan),Neutral,Any,Any,,Relics,13,22,2,5,,,30,30,,-5,2,2,3,0,3,-5,2,2,3,0,3,"History, Insight, Perception",,,"Bludgeoning, Piercing, Slashing",Prone,,,,30,,15,All,1,200,2,"Incorporeal, Magic Resistance",,1,Melee,5,5,,7,Necrotic or Radiant,Ranged,5,30,30,7,Necrotic or Radiant,,,,,,,,,,,,,,,,Wisdom,,,,,,,"Bless, Healing Word, Lesser Restoration (as an action)",Cast Healing Word,,,,,,,,,,,,
Erinyes,Medium,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Armaments,18,178,7,30,,,60,,,4,2,3,2,4,4,4,2,7,2,8,8,"Perception, Persuasion",,,Cold,Poisoned,"Fire, Poison",,,120,,16,"Infernal, Telepathy",12,"8,400",4,"Demonic Restoration, Magic Resistance, Magic Rope",,4,Melee,8,5,,24,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,16,Strength,Entangling Rope Within 120ft on fail a target 14 force damage and restrained,,,,,,,,,Release target from entangling rope,When hit +4 to AC,,,,,,,,,,,
